strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
USA/PP_000SGTC.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201327.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGUA.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201593.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGV8.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201330.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGW6.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201588.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGX4.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201378.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGY2.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201577.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGZ0.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201373.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH0Y.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201877.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH1W.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201583.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH2U.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201876.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH3S.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201584.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH4Q.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201875.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH5N.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201579.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH6L.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201574.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH7J.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201576.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH8G.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201590.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SH9E.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201888.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHAC.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex restuans	OZ201575.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHBA.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201885.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHC8.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201580.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHD6.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201879.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHE4.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201463.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHF2.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201592.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHG0.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201464.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHHX.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201599.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHJV.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201461.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHKT.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201573.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHLR.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201303.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHMP.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201311.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHNM.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201757.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHPK.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201326.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHQH.1/2018-09-04	2018-09-04	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201751.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHRF.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Aedes cinereus	OZ201405.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHSD.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201450.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHTB.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201305.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHU9.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201440.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHV7.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201456.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHW5.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201415.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHX3.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201506.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHY1.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201738.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SHZZ.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201497.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ0X.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201744.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ1V.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201477.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ2T.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culex restuans	OZ201750.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ3R.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201479.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ4P.1/2018-09-05	2018-09-05	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201563.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ5M.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201489.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ6K.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201553.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ7H.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201532.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ8F.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201539.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJ9D.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex restuans	OZ201921.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJAB.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex restuans	OZ201534.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJB9.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culex restuans	OZ201425.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJC7.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201549.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJD5.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201908.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJE3.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201786.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJF1.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201903.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJGZ.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201641.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJHW.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201910.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJJU.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201649.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJKS.1/2018-09-06	2018-09-06	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201896.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJLQ.1/2018-09-10	2018-09-10	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201651.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJMN.1/2018-09-10	2018-09-10	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201899.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJNL.1/2018-09-10	2018-09-10	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201907.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJPJ.1/2018-09-11	2018-09-11	North America	USA	Connecticut	1A	False	Coquillettidia perturbans	OZ201659.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJQG.1/2018-09-11	2018-09-11	North America	USA	Connecticut	1A	False	Culex restuans	OZ201911.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJRE.1/2018-09-11	2018-09-11	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201892.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJSC.1/2018-09-12	2018-09-12	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201887.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJTA.1/2018-09-13	2018-09-13	North America	USA	Connecticut	1A	False	Culex restuans	OZ201905.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJU8.1/2018-09-13	2018-09-13	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201878.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJV6.1/2018-09-17	2018-09-17	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201904.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJW4.1/2018-09-17	2018-09-17	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201337.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJX2.1/2018-09-17	2018-09-17	North America	USA	Connecticut	1A	False	Culex restuans	OZ201703.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJY0.1/2018-09-17	2018-09-17	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201329.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SJZY.1/2018-09-17	2018-09-17	North America	USA	Connecticut	1A	False	Ochlerotatus canadensis	OZ201701.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK0W.1/2018-09-19	2018-09-19	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201398.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK1U.1/2018-09-19	2018-09-19	North America	USA	Connecticut	1A	False	Culex restuans	OZ201702.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK2S.1/2018-09-19	2018-09-19	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201735.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK3Q.1/2018-09-20	2018-09-20	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201406.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK4N.1/2018-09-20	2018-09-20	North America	USA	Connecticut	1A	False	Culex restuans	OZ201731.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK5L.1/2018-09-20	2018-09-20	North America	USA	Connecticut	1A	False	Culex restuans	OZ201412.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK6J.1/2018-09-20	2018-09-20	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201732.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK7G.1/2018-09-26	2018-09-26	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201399.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK8E.1/2018-10-02	2018-10-02	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201734.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SK9C.1/2018-10-03	2018-10-03	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201376.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKAA.1/2018-10-03	2018-10-03	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201728.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKB8.1/2018-10-09	2018-10-09	North America	USA	Connecticut	1A	False	Psorophora ferox	OZ201416.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKC6.1/2018-10-10	2018-10-10	North America	USA	Connecticut	1A	False	Culex restuans	OZ201727.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKD4.1/2019-07-30	2019-07-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201414.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKE2.1/2019-07-30	2019-07-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201725.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKF0.1/2019-07-30	2019-07-30	North America	USA	Connecticut	1A	False	Culex restuans	OZ201722.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKGY.1/2019-07-30	2019-07-30	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201430.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKHV.1/2019-08-01	2019-08	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201375.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SKJT.1/2019-08-01	2019-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201449.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
